scenario_id,sampled_historical_slot,name_en,stochastic_net_bike_change_15min,stochastic_demand_15min,stochastic_return_15min
34,2026-05-21 08:50:00,3rd,-1,2,1
34,2026-05-21 08:50:00,4th,0,0,0
34,2026-05-21 08:50:00,5th,0,0,0
34,2026-05-21 08:50:00,6th,-1,1,0
34,2026-05-21 08:50:00,7th,0,0,0
35,2026-05-21 02:35:00,1st,0,0,0
35,2026-05-21 02:35:00,2nd,0,0,0
35,2026-05-21 02:35:00,3rd,0,0,0
35,2026-05-21 02:35:00,4th,0,0,0
35,2026-05-21 02:35:00,5th,0,1,1
35,2026-05-21 02:35:00,6th,0,2,2
35,2026-05-21 02:35:00,7th,0,0,0
36,2026-05-20 12:35:00,1st,2,2,4
36,2026-05-20 12:35:00,2nd,-1,1,0
36,2026-05-20 12:35:00,3rd,0,0,0
36,2026-05-20 12:35:00,4th,0,0,0
36,2026-05-20 12:35:00,5th,1,0,1
36,2026-05-20 12:35:00,6th,0,1,1
36,2026-05-20 12:35:00,7th,-1,1,0
37,2026-05-21 06:05:00,1st,1,0,1
37,2026-05-21 06:05:00,2nd,0,0,0
37,2026-05-21 06:05:00,3rd,0,0,0
37,2026-05-21 06:05:00,4th,0,0,0
37,2026-05-21 06:05:00,5th,0,0,0
37,2026-05-21 06:05:00,6th,0,0,0
37,2026-05-21 06:05:00,7th,0,1,1
38,2026-05-21 05:05:00,1st,1,1,2
38,2026-05-21 05:05:00,2nd,0,0,0
38,2026-05-21 05:05:00,3rd,-1,2,1
38,2026-05-21 05:05:00,4th,0,0,0
38,2026-05-21 05:05:00,5th,0,0,0
38,2026-05-21 05:05:00,6th,1,0,1
38,2026-05-21 05:05:00,7th,1,0,1
39,2026-05-20 12:05:00,1st,0,2,2
39,2026-05-20 12:05:00,2nd,1,1,2
39,2026-05-20 12:05:00,3rd,-1,1,0
39,2026-05-20 12:05:00,4th,0,1,1
39,2026-05-20 12:05:00,5th,1,0,1
39,2026-05-20 12:05:00,6th,0,1,1
39,2026-05-20 12:05:00,7th,1,0,1
40,2026-05-20 20:20:00,1st,0,2,2
40,2026-05-20 20:20:00,2nd,0,0,0
40,2026-05-20 20:20:00,3rd,0,1,1
40,2026-05-20 20:20:00,4th,0,0,0
40,2026-05-20 20:20:00,5th,2,0,2
40,2026-05-20 20:20:00,6th,2,2,4
40,2026-05-20 20:20:00,7th,0,0,0
41,2026-05-21 04:50:00,1st,0,0,0
41,2026-05-21 04:50:00,2nd,-1,1,0
41,2026-05-21 04:50:00,3rd,0,0,0
41,2026-05-21 04:50:00,4th,0,0,0
41,2026-05-21 04:50:00,5th,0,0,0
41,2026-05-21 04:50:00,6th,-1,1,0
41,2026-05-21 04:50:00,7th,0,0,0
42,2026-05-20 12:35:00,1st,2,2,4
42,2026-05-20 12:35:00,2nd,-1,1,0
42,2026-05-20 12:35:00,3rd,0,0,0
42,2026-05-20 12:35:00,4th,0,0,0
42,2026-05-20 12:35:00,5th,1,0,1
42,2026-05-20 12:35:00,6th,0,1,1
42,2026-05-20 12:35:00,7th,-1,1,0
43,2026-05-20 13:05:00,1st,1,0,1
43,2026-05-20 13:05:00,2nd,1,0,1
43,2026-05-20 13:05:00,3rd,1,0,1
43,2026-05-20 13:05:00,4th,0,0,0
43,2026-05-20 13:05:00,5th,0,0,0
43,2026-05-20 13:05:00,6th,0,0,0
43,2026-05-20 13:05:00,7th,-1,2,1
44,2026-05-20 10:50:00,1st,-1,1,0
44,2026-05-20 10:50:00,2nd,0,0,0
44,2026-05-20 10:50:00,3rd,0,0,0
44,2026-05-20 10:50:00,4th,0,0,0
44,2026-05-20 10:50:00,5th,0,0,0
44,2026-05-20 10:50:00,6th,0,1,1
44,2026-05-20 10:50:00,7th,-1,1,0
45,2026-05-20 06:30:00,1st,0,0,0
45,2026-05-20 06:30:00,2nd,0,0,0
45,2026-05-20 06:30:00,3rd,0,0,0
45,2026-05-20 06:30:00,4th,0,0,0
45,2026-05-20 06:30:00,5th,0,0,0
45,2026-05-20 06:30:00,6th,0,0,0
45,2026-05-20 06:30:00,7th,1,0,1
46,2026-05-20 19:50:00,1st,0,1,1
46,2026-05-20 19:50:00,2nd,0,0,0
46,2026-05-20 19:50:00,3rd,0,0,0
46,2026-05-20 19:50:00,4th,0,0,0
46,2026-05-20 19:50:00,5th,-1,2,1
46,2026-05-20 19:50:00,6th,-1,1,0
46,2026-05-20 19:50:00,7th,0,0,0
47,2026-05-20 06:50:00,1st,0,0,0
47,2026-05-20 06:50:00,2nd,-1,1,0
47,2026-05-20 06:50:00,3rd,0,0,0
47,2026-05-20 06:50:00,4th,0,0,0
47,2026-05-20 06:50:00,5th,0,0,0
47,2026-05-20 06:50:00,6th,-2,2,0
47,2026-05-20 06:50:00,7th,-1,1,0
48,2026-05-20 22:05:00,1st,-3,3,0
48,2026-05-20 22:05:00,2nd,2,0,2
48,2026-05-20 22:05:00,3rd,0,1,1
48,2026-05-20 22:05:00,4th,0,0,0
48,2026-05-20 22:05:00,5th,0,0,0
48,2026-05-20 22:05:00,6th,0,0,0
48,2026-05-20 22:05:00,7th,1,3,4
49,2026-05-20 17:35:00,1st,0,2,2
49,2026-05-20 17:35:00,2nd,0,0,0
49,2026-05-20 17:35:00,3rd,0,1,1
49,2026-05-20 17:35:00,4th,0,0,0
49,2026-05-20 17:35:00,5th,0,0,0
49,2026-05-20 17:35:00,6th,-1,1,0
49,2026-05-20 17:35:00,7th,1,0,1
50,2026-05-20 11:20:00,1st,-4,4,0
50,2026-05-20 11:20:00,2nd,1,0,1
50,2026-05-20 11:20:00,3rd,0,0,0
50,2026-05-20 11:20:00,4th,0,0,0
50,2026-05-20 11:20:00,5th,0,0,0
50,2026-05-20 11:20:00,6th,0,1,1
50,2026-05-20 11:20:00,7th,0,0,0
51,2026-05-20 16:05:00,1st,0,3,3
51,2026-05-20 16:05:00,2nd,0,0,0
51,2026-05-20 16:05:00,3rd,0,0,0
51,2026-05-20 16:05:00,4th,0,0,0
51,2026-05-20 16:05:00,5th,1,0,1
51,2026-05-20 16:05:00,6th,0,0,0
51,2026-05-20 16:05:00,7th,2,0,2
52,2026-05-20 06:50:00,1st,0,0,0
52,2026-05-20 06:50:00,2nd,-1,1,0
52,2026-05-20 06:50:00,3rd,0,0,0
52,2026-05-20 06:50:00,4th,0,0,0
52,2026-05-20 06:50:00,5th,0,0,0
52,2026-05-20 06:50:00,6th,-2,2,0
52,2026-05-20 06:50:00,7th,-1,1,0
53,2026-05-20 10:20:00,1st,-1,1,0
53,2026-05-20 10:20:00,2nd,0,0,0
53,2026-05-20 10:20:00,3rd,-1,1,0
53,2026-05-20 10:20:00,4th,0,0,0
53,2026-05-20 10:20:00,5th,0,0,0
53,2026-05-20 10:20:00,6th,0,1,1
53,2026-05-20 10:20:00,7th,2,0,2
54,2026-05-20 19:05:00,1st,-1,2,1
54,2026-05-20 19:05:00,2nd,-1,1,0
54,2026-05-20 19:05:00,3rd,0,0,0
54,2026-05-20 19:05:00,4th,0,0,0
54,2026-05-20 19:05:00,5th,0,0,0
54,2026-05-20 19:05:00,6th,1,0,1
54,2026-05-20 19:05:00,7th,-1,1,0
55,2026-05-20 08:35:00,1st,1,1,2
55,2026-05-20 08:35:00,2nd,0,0,0
55,2026-05-20 08:35:00,3rd,1,0,1
55,2026-05-20 08:35:00,4th,0,0,0
55,2026-05-20 08:35:00,5th,0,0,0
55,2026-05-20 08:35:00,6th,0,0,0
55,2026-05-20 08:35:00,7th,0,0,0
56,2026-05-21 01:50:00,1st,0,0,0
56,2026-05-21 01:50:00,2nd,0,0,0
56,2026-05-21 01:50:00,3rd,0,0,0
56,2026-05-21 01:50:00,4th,0,0,0
56,2026-05-21 01:50:00,5th,0,0,0
